Benchmark,Filename,NumRepairs,TimeToFirst,Runtime,NodesExplored,Runs
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1.0,92.0,92.0,5.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1.0,159.0,159.0,9.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1.0,3316.0,3316.0,125.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1.0,89.0,89.0,5.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1.0,86.0,86.0,5.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1.0,91.0,91.0,5.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1.0,94.0,94.0,5.0,10
addedVarsGyro_Var1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1.0,91.0,92.0,5.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1.0,17.0,17.0,2.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1.0,21.0,21.0,3.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1.0,27.0,27.0,5.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1.0,42.0,42.0,9.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1.0,74.0,74.0,17.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1.0,139.0,140.0,33.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1.0,17.0,17.0,2.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1.0,18.0,18.0,2.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1.0,19.0,19.0,2.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1.0,18.0,19.0,2.0,10
addedVarsHumanoid458,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS5.spectra,1.0,19.0,19.0,2.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/Lift.spectra,1.0,38.0,38.0,4.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftE1.spectra,1.0,77.0,78.0,10.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftE2.spectra,1.0,1086.0,1086.0,106.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftS1.spectra,1.0,39.0,39.0,4.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftS2.spectra,1.0,46.0,46.0,4.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftS3.spectra,1.0,40.0,40.0,4.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftS4.spectra,1.0,39.0,39.0,4.0,10
addedVarsLift,inputs-scalability-JVTS/addedVarsLift/LiftS5.spectra,1.0,40.0,40.0,4.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1.spectra,1.0,52.0,53.0,9.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1E1.spectra,1.0,920.0,920.0,127.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1S1.spectra,1.0,48.0,48.0,9.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1S2.spectra,1.0,52.0,53.0,9.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1S3.spectra,1.0,54.0,54.0,9.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1S4.spectra,1.0,50.0,50.0,9.0,10
addedVarsRG1,inputs-scalability-JVTS/addedVarsRG1/RG1S5.spectra,1.0,50.0,50.0,9.0,10
