Specification,NumRepairs
ColorSortLTL3_689_ColorSort_fixed_unrealizable,1
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,1
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,0
GyroUnrealizable_Var1_710_GyroAspect_unrealizable,1
GyroUnrealizable_Var2_710_GyroAspect_unrealizable,1
HumanoidLTL_458_Humanoid_fixed_unrealizable,1
HumanoidLTL_503_Humanoid_fixed_unrealizable,1
HumanoidLTL_531_Humanoid_unrealizable,1
HumanoidLTL_713_Humanoid_unrealizable,1
HumanoidLTL_742_Humanoid_unrealizable,1
HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,1
HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,1
PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,1
