Id,UniqueRefinement,Runtime,IsSolution
b5b0107b-67c5-4d36-83fb-5fc1791e2bb5,['G(c -> !v)'],233,True
4610e470-55f8-4cf9-a6f8-864416f55822,['G(c -> !v)'],233,True
7c9d4ec6-0b64-429a-8f1e-2c929095f08a,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",233,True
2a690838-83f7-43da-9a98-eda2cb412b74,['G(F(!c -> g) & (c -> v))'],233,True
3ad3164c-a0d2-4a2e-b35a-7ab62458efe4,['G(!c -> (X(c) -> g)) & (c -> (X(c) -> v))'],233,True
f134e8d2-a91f-43e3-b3eb-062dc76eeb67,['G(c -> !v)'],233,True
ce032fe0-d02e-4a59-99f1-578e0cad36ff,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> (X(c) -> v))) & (r -> (!c -> (X(c) -> g)))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))) & (r -> (X(r) -> (c -> (X(c) -> v))))']",233,True
403fff18-b0a4-45a4-bf1e-487f26f8b602,['G(c -> !v)'],233,True
8127ccb4-c957-4388-bcbf-1618b041cbab,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(r -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))', 'G(!r -> (X(!(r)) -> (c -> (X(!(c)) -> v))) & (X(r) -> (c -> (X(c) -> v)))) & (r -> (X(!(r)) -> (c -> (X(!(c)) -> (!g -> v)))) & (X(r) -> (c -> (X(c) -> (!g -> v)))))']",233,True
c65414bc-277e-46f0-9223-a56c1740e43e,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(r -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))', 'G(!r -> (!c -> (X(c) -> g))) & (r -> (c -> (X(c) -> v)))']",233,True
5909b747-77f6-4685-b5e7-01d83eedc0a6,['G(c -> !v)'],233,True
02330a3a-f9c5-4d44-a968-642ca71f895d,"['G(!r -> (c -> !v))', 'G(r -> (X(!(r)) -> (c -> (X(!(c)) -> (!g -> v)))) & (X(r) -> (c -> (!g -> v))))']",233,True
6f707457-431b-458e-99f5-f9ead52501a8,"['G(F(!r -> (!c -> g)) & (r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> !v))']",233,True
c78d0c96-01f8-4cac-acbb-990500687737,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",233,True
7e3cb2b6-a8f6-4030-9939-ba99774e783d,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",233,True
2c16c070-474e-432a-a1a4-c21a464d500e,"['G(F(!r -> (!c -> g)) & (r -> (c -> v)))', 'G(!r -> (c -> !v))', 'G(r -> (X(r) -> (c -> (!g -> v))))']",233,True
8a2bfd66-8238-4dec-b4ed-e32da9fb892c,"['G(F(!r -> (!c -> g)) & (r -> (c -> v)))', 'G(!r -> (c -> !v))', 'G(r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",233,True
da92fc75-4ce9-40c3-8b00-0c89d2bed99f,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",233,True
922926bf-3e04-4268-936a-4198f804c79e,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))', 'G(r -> (X(r) -> (c -> (!g -> v))))']",233,True
ae654edb-e943-4826-b8ba-73668670ff76,"['G(F(r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))']",233,True
f1dc5921-a684-4eaf-af6a-c808815cc19b,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))', 'G(r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",233,True
b10b4afb-7a53-4bb7-bd79-28692f3b8dc9,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",233,True
