Id,UniqueRefinement,Runtime,IsSolution
c1156e36-da1c-4fe3-8c83-fc599f6a3408,['G(c -> !v)'],229,True
29deda09-2562-4261-a95f-0e974c8e101d,['G(c -> !v)'],229,True
c9295fc4-d475-4968-8afc-00dc1bd6e5a7,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",229,True
bd580b10-5130-4cd3-a11c-87dd570d1d03,['G(F(!c -> g) & (c -> v))'],229,True
ad573b2c-c656-4a60-b1b2-943c8cc45716,['G(!c -> (X(c) -> g)) & (c -> (X(c) -> v))'],229,True
b966cb9a-6ad2-4c91-8527-7863f3e93289,['G(c -> !v)'],229,True
3ae2e5e4-ae11-402b-8b23-6c9779333099,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> (X(c) -> v))) & (r -> (!c -> (X(c) -> g)))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))) & (r -> (X(r) -> (c -> (X(c) -> v))))']",229,True
8c165724-40f6-4f09-b32b-1eb76f97b9f8,['G(c -> !v)'],229,True
92a0ca24-3ab7-4304-8143-73ccc3f263cd,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(r -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))', 'G(!r -> (X(!(r)) -> (c -> (X(!(c)) -> v))) & (X(r) -> (c -> (X(c) -> v)))) & (r -> (X(!(r)) -> (c -> (X(!(c)) -> (!g -> v)))) & (X(r) -> (c -> (X(c) -> (!g -> v)))))']",229,True
6c144c58-6ee7-4fe9-af8a-ec4f8702c24d,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(r -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))', 'G(!r -> (!c -> (X(c) -> g))) & (r -> (c -> (X(c) -> v)))']",229,True
3f801b50-944c-442f-aebf-50e04315a0e5,['G(c -> !v)'],229,True
741c9403-f5b2-4acd-a33b-d19542ee1698,"['G(!r -> (c -> !v))', 'G(r -> (X(!(r)) -> (c -> (X(!(c)) -> (!g -> v)))) & (X(r) -> (c -> (!g -> v))))']",229,True
5d825889-2cf7-430b-9757-b250dbb1387d,"['G(F(!r -> (!c -> g)) & (r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> !v))']",229,True
25e1cb3f-f428-42f6-a48c-648c50f27bf0,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",229,True
14d620a8-7e60-4d66-8a6e-e5ddc556c8df,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",229,True
7c5207ea-fc1d-4065-92fb-dced8aab8e45,"['G(F(!r -> (!c -> g)) & (r -> (c -> v)))', 'G(!r -> (c -> !v))', 'G(r -> (X(r) -> (c -> (!g -> v))))']",229,True
acd17f03-c75f-45b3-93d4-5f46de4a953c,"['G(F(!r -> (!c -> g)) & (r -> (c -> v)))', 'G(!r -> (c -> !v))', 'G(r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",229,True
52b2c01b-30e9-4edb-8acd-8612793fd728,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",229,True
4335abf2-6752-40cd-848a-5a2f46b4eb2a,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))', 'G(r -> (X(r) -> (c -> (!g -> v))))']",229,True
aa6adb72-12bb-4e2d-9965-8dbaed78c5e9,"['G(F(r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))']",229,True
f5c5b4cf-fe95-4b95-8c5d-50a09edca32a,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))', 'G(r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",229,True
888101ed-87fd-4907-913c-2819125c05f1,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",229,True
