Specification,NumRepairs
ColorSortLTL2TAG_789_ColorSort_1_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTL2TAG_789_ColorSort_2_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTL2TAG_789_ColorSort_3_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTL2_621_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL2_794_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3TAG_787_ColorSort_1_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTL3TAG_787_ColorSort_2_interpolation-bfs_exptacas20_duplicatecheck,22
ColorSortLTL3TAG_787_ColorSort_3_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTL3_621_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_646_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_662_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,125
ColorSortLTL3_674_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_674_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_675_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_675_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_678_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_678_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_679_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_679_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_681_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_681_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_682_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_682_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_682_ColorSort_fixed_3_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_687_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_687_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_687_ColorSort_fixed_3_interpolation-bfs_exptacas20_duplicatecheck,1
ColorSortLTL3_687_ColorSort_fixed_4_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_688_ColorSort_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_688_ColorSort_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_688_ColorSort_fixed_3_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_688_ColorSort_fixed_4_interpolation-bfs_exptacas20_duplicatecheck,1
ColorSortLTL3_688_ColorSort_fixed_5_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTL3_688_ColorSort_fixed_6_interpolation-bfs_exptacas20_duplicatecheck,1
ColorSortLTL3_688_ColorSort_fixed_7_interpolation-bfs_exptacas20_duplicatecheck,0
ColorSortLTLTAG_788_ColorSort_1_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTLTAG_788_ColorSort_2_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTLTAG_788_ColorSort_3_interpolation-bfs_exptacas20_duplicatecheck,2
ColorSortLTLTAG_792_ColorSort_1_interpolation-bfs_exptacas20_duplicatecheck,1
