Id;UniqueRefinement;NumVariables;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
526a6cc3-7fb5-4d1d-9507-e7eff014e13a;[];0;0.005290180037263781;0;N/A;2;False;N/A;False;9.256923114007805;N/A;8.631286593037657;19;0.00019565096590667963;7.330064048990607;
1d219fc9-c568-47a9-af77-6905588fdaf4;['!(!color_2 & !ack_ver_0)'];2;25.258415754011367;1;526a6cc3-7fb5-4d1d-9507-e7eff014e13a;2;False;N/A;False;7.167989494977519;N/A;8.84948881098535;19;8.499203249812126e-05;7.503132458950859;
0a6348e9-05bf-4cb0-b3a0-c741e3e713bb;['G(!(!color_2 & !ack_ver_0))'];3;25.258445414016023;1;526a6cc3-7fb5-4d1d-9507-e7eff014e13a;2;False;N/A;False;7.880784273031168;N/A;7.671631027013063;19;8.230499224737287e-05;6.803537718951702;
faa37612-c2f5-4850-aa54-70b7b9a3108c;['!(!color_2 & !ack_ver_0)', 'G(!(!color_2 & !ack_hor_0))'];5;48.834498601034284;2;1d219fc9-c568-47a9-af77-6905588fdaf4;2;False;N/A;False;6.143397094972897;N/A;6.486287172010634;19;9.056500857695937e-05;8.3568577329861;
3dcca2dd-5071-4797-8f34-8c9faf441e16;['!(!color_2 & !ack_hor_0)', '!(!color_2 & !ack_ver_0)'];4;48.83452434401261;2;1d219fc9-c568-47a9-af77-6905588fdaf4;2;False;N/A;False;8.498272722004913;N/A;8.282745970995165;19;9.09580267034471e-05;9.37625576602295;
43400a5c-4e2f-4d46-991e-ffb6b52e277e;['G(!(!color_2 & !ack_hor_0))', 'G(!(!color_2 & !ack_ver_0))'];6;71.20674746000441;2;0a6348e9-05bf-4cb0-b3a0-c741e3e713bb;2;False;N/A;False;7.6934515059692785;N/A;8.95970560098067;19;7.593899499624968e-05;8.613852317968849;
2552d83b-4c88-4851-b9c6-d15620634836;['!(!color_2 & !ack_hor_0)', 'G(!(!color_2 & !ack_ver_0))'];5;71.20677243504906;2;0a6348e9-05bf-4cb0-b3a0-c741e3e713bb;2;False;N/A;False;8.654954449972138;N/A;7.593424073013011;19;9.257096098735929e-05;6.914055526955053;
2d29547f-2f67-4008-9e01-969226e38b27;['!(!color_1 & !ack_ver_0)', '!(!color_2 & !ack_ver_0)', 'G(!(!color_2 & !ack_hor_0))'];7;92.22994141001254;3;faa37612-c2f5-4850-aa54-70b7b9a3108c;2;False;N/A;False;8.443007231981028;N/A;7.238847911008634;19;9.619502816349268e-05;6.531425888999365;
230d6669-0950-449f-af18-b88bfe9a88c6;['!(!color_2 & !ack_ver_0)', 'G(!(!color_1 & !ack_ver_0))', 'G(!(!color_2 & !ack_hor_0))'];8;92.2299724490149;3;faa37612-c2f5-4850-aa54-70b7b9a3108c;2;False;N/A;False;7.170141751004849;N/A;8.124126396025531;19;9.982200572267175e-05;6.031789248983841;
3a656124-2e37-4b15-82e4-1f93fb863640;['!(!color_1 & !ack_ver_0)', '!(!color_2 & !ack_hor_0)', '!(!color_2 & !ack_ver_0)'];6;118.41454624803737;3;3dcca2dd-5071-4797-8f34-8c9faf441e16;2;False;N/A;False;7.751202181039844;N/A;6.518671391997486;19;8.892297046259046e-05;6.186356611025985;
ee9178a6-f68c-47c6-bdd5-c9e9817a8d6b;['!(!color_2 & !ack_hor_0)', '!(!color_2 & !ack_ver_0)', 'G(!(!color_1 & !ack_ver_0))'];7;118.41457417001948;3;3dcca2dd-5071-4797-8f34-8c9faf441e16;2;False;N/A;False;5.737197271024343;N/A;5.73426096100593;19;0.00010795798152685165;5.652546061959583;
84179a0b-ceda-4728-b030-83ec3da29e5f;['!(!color_1 & !ack_ver_0)', 'G(!(!color_2 & !ack_hor_0))', 'G(!(!color_2 & !ack_ver_0))'];8;143.70205617405009;3;43400a5c-4e2f-4d46-991e-ffb6b52e277e;2;False;N/A;False;5.803830188990105;N/A;6.0400967199821025;19;9.796599624678493e-05;4.698126315022819;
948d9109-d70a-48e7-8998-d57d8a93581b;['G(!(!color_1 & !ack_ver_0))', 'G(!(!color_2 & !ack_hor_0))', 'G(!(!color_2 & !ack_ver_0))'];9;143.70208293700125;3;43400a5c-4e2f-4d46-991e-ffb6b52e277e;2;False;N/A;False;5.531292536994442;N/A;5.634372950007673;19;9.233801392838359e-05;4.892728222999722;
fcfabdb8-c51c-4d53-b2e8-a1c2c2488542;['!(!color_1 & !ack_ver_0)', '!(!color_2 & !ack_hor_0)', 'G(!(!color_2 & !ack_ver_0))'];7;166.88621751900064;3;2552d83b-4c88-4851-b9c6-d15620634836;2;False;N/A;False;7.151692793006077;N/A;7.5831326260231435;19;9.267800487577915e-05;7.494780228007585;
bf77148f-5efb-40b5-9880-3828c7d626dc;['!(!color_2 & !ack_hor_0)', 'G(!(!color_1 & !ack_ver_0))', 'G(!(!color_2 & !ack_ver_0))'];8;166.88624725403497;3;2552d83b-4c88-4851-b9c6-d15620634836;2;False;N/A;False;7.391528770967852;N/A;7.4937126589939;19;9.735103230923414e-05;8.002757137990557;
