Id,UniqueRefinement,Timestamp,Length,Parent,NumChildren,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod
7b70e55e-8873-486b-a463-9f533de5d721,[],0.0029144509899197146,0,N/A,4,False,N/A,N/A,False,3.680355012009386,N/A,N/A,13.58733906201087,1537,8.852699829731137e-05,0.105148705013562
c8f40499-4d08-47d6-88e9-cea7e38ee6d0,['G((inputMoveMode_0 & !obstacle_0 & inputMoveMode_1) -> X(!(!inputMoveMode_1 & !inputMoveMode_0 & obstacle_0)))'],21.185207713002455,1,7b70e55e-8873-486b-a463-9f533de5d721,0,False,N/A,N/A,False,3.5733188720041653,N/A,N/A,10.755158577987459,1537,9.67993400990963e-07,0.2030780969944317
e2f2d54d-dfdf-4c2f-b4a2-7026814ecad4,['G(!(!inputMoveMode_0 & !inputMoveMode_1 & !obstacle_0))'],21.185225747001823,1,7b70e55e-8873-486b-a463-9f533de5d721,1,False,N/A,N/A,False,3.594097323002643,N/A,N/A,13.223353622001014,1537,9.175499144475907e-05,0.06706667599792127
bd7de97f-06d0-4774-aec8-43d0b1aac3a6,['G((!inputMoveMode_1 & !inputMoveMode_0 & obstacle_0) -> X(!(!inputMoveMode_0 & !inputMoveMode_1 & !obstacle_0)))'],21.18523360299878,1,7b70e55e-8873-486b-a463-9f533de5d721,0,False,N/A,N/A,False,3.5050303409952903,N/A,N/A,13.1497178110003,1537,5.3399708122015e-07,0.16506602898880374
53a365bf-61ff-4a4a-8ba7-c0f09367a840,['!(inputMoveMode_0 & !obstacle_0 & inputMoveMode_1)'],21.185240453996812,1,7b70e55e-8873-486b-a463-9f533de5d721,4,False,N/A,N/A,False,3.644299981999211,N/A,N/A,13.321691307995934,1537,9.438200504519045e-05,0.08617242600303143
32eec82d-773f-4526-9779-3d2416a38e87,"['FALSE', 'G(!(!inputMoveMode_0 & !inputMoveMode_1 & !obstacle_0))']",59.9730566819926,2,e2f2d54d-dfdf-4c2f-b4a2-7026814ecad4,0,True,False,N/A,False,3.678795187996002,3.7731244869937655,N/A,N/A,N/A,N/A,N/A
4775e036-da6e-4619-a443-e28b1e3b2eef,"['!(inputMoveMode_0 & !obstacle_0 & inputMoveMode_1)', 'G(!(!inputMoveMode_0 & !inputMoveMode_1 & !obstacle_0))']",101.34976937499596,2,53a365bf-61ff-4a4a-8ba7-c0f09367a840,1,False,N/A,N/A,False,3.7973530500021297,N/A,N/A,13.910974212005385,1537,8.968300244305283e-05,0.07046391800395213
58ea3e22-bd2f-4d69-9b49-4b6e0c84b112,"['!(inputMoveMode_0 & !obstacle_0 & inputMoveMode_1)', 'G((obstacle_0 & inputMoveMode_0 & inputMoveMode_1 & !(inputMoveMode_1 & !obstacle_0 & inputMoveMode_0)) -> X(!(obstacle_0 & !inputMoveMode_0 & !inputMoveMode_1)))']",101.34979029399983,2,53a365bf-61ff-4a4a-8ba7-c0f09367a840,0,False,N/A,N/A,False,3.7294304680108326,N/A,N/A,79.68919113599986,2049,7.519993232563138e-07,0.37814505299320444
b7de4ad5-ba28-4651-b5dc-b57cd48503d7,"['!(inputMoveMode_0 & !obstacle_0 & inputMoveMode_1)', 'G((obstacle_0 & !inputMoveMode_0 & !inputMoveMode_1) -> X(!(!inputMoveMode_0 & !inputMoveMode_1 & !obstacle_0)))']",101.34979838499567,2,53a365bf-61ff-4a4a-8ba7-c0f09367a840,0,False,N/A,N/A,False,4.689553839998553,N/A,N/A,15.734359451002092,1537,8.030037861317396e-07,0.3707035539991921
6cd88e37-2212-4870-b9c4-50ce0f50a8e4,"['!(inputMoveMode_0 & !obstacle_0 & inputMoveMode_1)', '!(obstacle_0 & inputMoveMode_0 & inputMoveMode_1 & !(inputMoveMode_1 & !obstacle_0 & inputMoveMode_0))']",101.34980515399366,2,53a365bf-61ff-4a4a-8ba7-c0f09367a840,5,False,N/A,N/A,False,3.8907117050111992,N/A,N/A,97.53426948499691,2049,0.00010066700633615255,0.12602820599568076
