Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod
70bab781-923d-48eb-802c-3f897cee4228,[],0.12095510493963957,0,0,0,N/A,2,True,False,N/A,N/A,False,0.034631137968972325,0.4235388289671391,N/A,N/A,0.04218813288025558,2,5.758390761911869e-05,0.03730860794894397
e90cde69-16ae-4910-9fb8-fd187ee30b8c,['!(button_0 & heading_0)'],0.29736080998554826,0.11968752415850759,0.1940694961231202,1,70bab781-923d-48eb-802c-3f897cee4228,2,True,False,N/A,N/A,False,0.04649043106473982,0.021769372979179025,N/A,N/A,0.029849911108613014,2,7.197493687272072e-05,0.041122006019577384
71a4599d-35d5-48a1-b0e8-3e857086323b,['G(!(button_0 & heading_0))'],0.4837429579347372,0.11969828605651855,0.362697163131088,1,70bab781-923d-48eb-802c-3f897cee4228,2,True,False,N/A,N/A,False,0.04238473088480532,0.017932977993041277,N/A,N/A,0.02390221506357193,2,7.472001016139984e-05,0.037232760805636644
95aecf83-59ea-45f7-9b1d-8e397256f16e,"['!(button_0 & heading_0)', '!(button_0 & heading_1)']",0.6668053960893303,0.29620039416477084,0.5256074590142816,2,e90cde69-16ae-4910-9fb8-fd187ee30b8c,2,True,False,N/A,N/A,False,0.025819575879722834,0.011067534796893597,N/A,N/A,0.02044513402506709,2,0.00010590418241918087,0.09453710401430726
064115a1-8b07-48dd-aaba-c890303f6b55,"['!(button_0 & heading_0)', 'G(!(button_0 & heading_1))']",0.8731804031413049,0.2962166841607541,0.7985675940290093,2,e90cde69-16ae-4910-9fb8-fd187ee30b8c,2,True,False,N/A,N/A,False,0.10262890695594251,0.024308335036039352,N/A,N/A,0.016094157937914133,2,7.653306238353252e-05,0.03809882700443268
840d61a8-210e-47be-a444-397f26a16c8e,"['!(button_0 & heading_1)', 'G(!(button_0 & heading_0))']",1.0516200989950448,0.48248374997638166,0.9344452221412212,2,71a4599d-35d5-48a1-b0e8-3e857086323b,2,True,False,N/A,N/A,False,0.03364239213988185,0.02271118084900081,N/A,N/A,0.02172367088496685,2,9.165005758404732e-05,0.07053929404355586
006416e7-8288-469a-815d-22b32d72312f,"['G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))']",1.2407344770617783,0.48250077897682786,1.1231376540381461,2,71a4599d-35d5-48a1-b0e8-3e857086323b,2,True,False,N/A,N/A,False,0.04345853999257088,0.02131456113420427,N/A,N/A,0.01931839995086193,2,0.00014044297859072685,0.07218639017082751
2cfba103-d053-4fc7-9337-80855063ba84,"['!(button_0 & heading_0)', '!(button_0 & heading_1)', '!(button_0 & heading_2)']",1.335008918074891,0.6585853770375252,1.2977312949951738,3,95aecf83-59ea-45f7-9b1d-8e397256f16e,0,True,True,True,False,True,0.03384998603723943,0.01787797501310706,0.011524877976626158,0.024454164085909724,N/A,N/A,N/A,N/A
4ce4d26d-401f-4d31-8648-0fe489dbfc53,"['!(button_0 & heading_0)', '!(button_0 & heading_1)', 'G(!(button_0 & heading_2))']",1.4400287659373134,0.6586129791103303,1.3998777901288122,3,95aecf83-59ea-45f7-9b1d-8e397256f16e,0,True,True,True,False,True,0.03672325308434665,0.023137788055464625,0.014780780067667365,0.024136077146977186,N/A,N/A,N/A,N/A
5376e443-6ed7-4f97-9b38-9d6d43f7baeb,"['!(button_0 & heading_0)', '!(button_0 & heading_2)', 'G(!(button_0 & heading_1))']",1.5349082460161299,0.8718083531130105,1.5030836041551083,3,064115a1-8b07-48dd-aaba-c890303f6b55,0,True,True,True,False,True,0.03612481988966465,0.020377815002575517,0.008608111878857017,0.021817226894199848,N/A,N/A,N/A,N/A
4187277c-3c81-40bd-963a-8474b4042f4f,"['!(button_0 & heading_0)', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))']",1.793182346969843,0.8718241141177714,1.7401123770978302,3,064115a1-8b07-48dd-aaba-c890303f6b55,0,True,True,True,False,True,0.027076371014118195,0.17333376593887806,0.025571953039616346,0.026152892038226128,N/A,N/A,N/A,N/A
1dfd5c08-c18a-4942-bd2c-4e4be8921cd2,"['!(button_0 & heading_1)', '!(button_0 & heading_2)', 'G(!(button_0 & heading_0))']",1.8669590279459953,1.0502939589787275,1.8349508920218796,3,840d61a8-210e-47be-a444-397f26a16c8e,0,True,True,True,False,True,0.022009699838235974,0.015030954964458942,0.011597909033298492,0.019112688954919577,N/A,N/A,N/A,N/A
3fd1c364-d2d0-4887-8220-6ca956535fa7,"['!(button_0 & heading_1)', 'G(!(button_0 & heading_0))', 'G(!(button_0 & heading_2))']",1.9557530591264367,1.0503158001229167,1.9214551800396293,3,840d61a8-210e-47be-a444-397f26a16c8e,0,True,True,True,False,True,0.03106548497453332,0.01841768599115312,0.011129430960863829,0.021920757135376334,N/A,N/A,N/A,N/A
ef795b96-fa0c-4ad4-8fc2-0cde144896c7,"['!(button_0 & heading_2)', 'G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))']",2.0467940859962255,1.2392200659960508,2.0091488829348236,3,006416e7-8288-469a-815d-22b32d72312f,0,True,True,True,False,True,0.026866905856877565,0.02063172496855259,0.008913215016946197,0.027407102053985,N/A,N/A,N/A,N/A
17138f1a-1814-404e-b623-eda36bf0e1f0,"['G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))']",2.108045872999355,1.239248282974586,N/A,3,006416e7-8288-469a-815d-22b32d72312f,0,True,N/A,N/A,N/A,N/A,0.039019808173179626,N/A,N/A,N/A,N/A,N/A,N/A,N/A
