Id,UniqueRefinement,Timestamp,Length,Parent,NumChildren,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,NumVariables,ContainsAux,d1,d2,nummaxentropysccs,d3,NumAssumptions
fb2f4ea0-7945-41db-a225-442caca896b8,[],0.0020176609978079,0,,3,False,,,False,1.460556739999447,,,1.447172758023953,97.0,4.567901487462223e-05,0.0936243549804203,,False,,,,,
49843129-c8a4-40a8-a16a-55f35deebb9a,['G(!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0))'],3.01220357400598,1,fb2f4ea0-7945-41db-a225-442caca896b8,3,False,,,False,1.3432791990053374,,,1.4623143509961665,97.0,6.218199268914759e-05,0.1154713449941482,3,False,,,,,1.0
3f8f9c91-239f-4c92-9b76-04d9fe6b9deb,['G(F(!(((spec_b2f_1 & !spec_b2f_0) | (!spec_b2f_1 & !spec_b2f_0)) & ((spec_f2b_1 & !spec_f2b_0) | (!spec_f2b_1 & !spec_f2b_0)) & !sideSense_0 & eNV_CONSTRAINT_0_respondsTo_responded & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0)))'],3.012213353009429,1,fb2f4ea0-7945-41db-a225-442caca896b8,1,False,,,False,1.3907955239992589,,,1.5052601889765356,161.0,8.975801756605506e-05,0.057023962988751,8,True,,,,,1.0
f36bf3c1-344a-47d7-975b-ddad8be6741a,['!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0)'],3.01221785301459,1,fb2f4ea0-7945-41db-a225-442caca896b8,2,False,,,False,1.3520128359959926,,,1.4154179850011133,113.0,6.0699996538460255e-05,0.044690109003568,3,False,,,,,1.0
d4b48cd9-f9d5-4861-84c2-a8e0b282b7b4,"['!(!(obstacle_0 & !sideSense_1 & !sideSense_0 & !(sideSense_1 & sideSense_0)) & !sideSense_0 & !(sideSense_1 & sideSense_0) & sideSense_1 & obstacle_0)', 'G(!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0))']",5.939662256016163,2,49843129-c8a4-40a8-a16a-55f35deebb9a,2,False,,,False,1.4058390420104845,,,1.526779139006976,113.0,8.000398520380259e-05,0.0626849980035331,3,False,,,,,2.0
5610a133-880f-44bf-b809-903f53235581,"['G(!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0))', 'G(F(!(!(obstacle_0 & !sideSense_1 & !sideSense_0 & !(sideSense_1 & sideSense_0)) & ((spec_b2f_1 & !spec_b2f_0) | (!spec_b2f_1 & !spec_b2f_0)) & ((spec_f2b_1 & !spec_f2b_0) | (!spec_f2b_1 & !spec_f2b_0)) & !sideSense_0 & eNV_CONSTRAINT_0_respondsTo_responded & !(sideSense_1 & sideSense_0) & sideSense_1 & obstacle_0)))']",5.939676556998165,2,49843129-c8a4-40a8-a16a-55f35deebb9a,0,True,False,,False,1.3899359749921132,1.379781073977938,,,,,,8,True,,,,,2.0
ac193db9-e3db-468d-a3f1-ec566a220494,"['G(!(!(obstacle_0 & !sideSense_1 & !sideSense_0 & !(sideSense_1 & sideSense_0)) & !sideSense_0 & !(sideSense_1 & sideSense_0) & sideSense_1 & obstacle_0))', 'G(!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0))']",5.939681368006859,2,49843129-c8a4-40a8-a16a-55f35deebb9a,3,False,,,False,1.38570060901111,,,1.4447150849737227,97.0,6.618400220759213e-05,0.1107937959895934,3,False,,,,,2.0
27c1c488-4248-40c4-aa2c-8bb4cf609d2f,"['FALSE', 'G(F(!(((spec_b2f_1 & !spec_b2f_0) | (!spec_b2f_1 & !spec_b2f_0)) & ((spec_f2b_1 & !spec_f2b_0) | (!spec_f2b_1 & !spec_f2b_0)) & !sideSense_0 & eNV_CONSTRAINT_0_respondsTo_responded & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0)))']",8.900128672015853,2,3f8f9c91-239f-4c92-9b76-04d9fe6b9deb,0,True,False,,False,1.3706158429849893,1.3495297019835562,,,,,,9,True,,,,,2.0
765e0aa1-df5e-4347-a860-65bbc30e51cc,"['!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0)', 'G(F(!(obstacle_0)))']",11.71856003900757,2,f36bf3c1-344a-47d7-975b-ddad8be6741a,0,True,True,True,True,1.3355320490081797,1.4039069709833711,1.389247411978431,,,,,3,False,,,,,2.0
bd8a1ef1-17ac-42ae-8aab-85a7a846b414,"['!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0)', 'G((obstacle_0) -> X(!(obstacle_0)))']",11.71857462200569,2,f36bf3c1-344a-47d7-975b-ddad8be6741a,0,True,True,True,True,1.4148239190108145,1.4856360249978025,1.3479884399857838,,,,,3,False,,,,,2.0
f74eef58-cd57-4b8b-837a-33d3d0451ae2,"['!(!(obstacle_0 & !sideSense_1 & !sideSense_0 & !(sideSense_1 & sideSense_0)) & !sideSense_0 & !(sideSense_1 & sideSense_0) & sideSense_1 & obstacle_0)', 'G(!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0))', 'G(F(!(obstacle_0)))']",14.72022113201092,3,d4b48cd9-f9d5-4861-84c2-a8e0b282b7b4,0,True,True,True,True,1.3693573889904656,1.390706225996837,1.3879270140023436,,,,,3,False,,,,,3.0
5269ece6-8558-41f5-a731-0fe10967b838,"['!(!(obstacle_0 & !sideSense_1 & !sideSense_0 & !(sideSense_1 & sideSense_0)) & !sideSense_0 & !(sideSense_1 & sideSense_0) & sideSense_1 & obstacle_0)', 'G(!(!sideSense_0 & !(sideSense_1 & sideSense_0) & !sideSense_1 & obstacle_0))', 'G((obstacle_0) -> X(!(obstacle_0)))']",14.720243957010098,3,d4b48cd9-f9d5-4861-84c2-a8e0b282b7b4,0,True,True,True,True,1.4367370889813174,1.479886022018036,1.4255654320004396,,,,,3,False,,,,,3.0
