System,Specification,NumRepairs,MinNumVariables,MaxNumVariables,Repaired
ColorSort,ColorSortLTL3_689_ColorSort_fixed_unrealizable,0,0,0,False
ColorSort,ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,0,0,0,False
ColorSort,ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,0,0,0,False
Gyro,GyroUnrealizable_Var1_710_GyroAspect_unrealizable,5,0,0,True
Gyro,GyroUnrealizable_Var2_710_GyroAspect_unrealizable,3,0,0,True
Humanoid,HumanoidLTL_458_Humanoid_fixed_unrealizable,0,0,0,False
Humanoid,HumanoidLTL_503_Humanoid_fixed_unrealizable,0,0,0,False
Humanoid,HumanoidLTL_531_Humanoid_unrealizable,107,0,0,True
Humanoid,HumanoidLTL_713_Humanoid_unrealizable,0,0,0,False
Humanoid,HumanoidLTL_741_Humanoid_unrealizable,0,0,0,False
Humanoid,HumanoidLTL_742_Humanoid_unrealizable,3,0,0,True
Humanoid,HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,0,0,0,False
Humanoid,HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,0,0,0,False
PCar,PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,11,0,0,True
