System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,MinWeakness,Repaired
ColorSort,ColorSortLTL3_689_ColorSort_fixed_unrealizable,1,1,27,27,0,0,"(nan, nan, nan, nan)",True
ColorSort,ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,0,0,0,0,0,0,,False
ColorSort,ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,0,0,0,0,0,0,,False
Gyro,GyroUnrealizable_Var1_710_GyroAspect_unrealizable,1,1,6,6,0,0,"(0.8633613244510648, 0.8572476243909466, 1.0, -inf)",True
Gyro,GyroUnrealizable_Var2_710_GyroAspect_unrealizable,1,1,6,6,0,0,"(0.8785433995120576, 0.8493173544194141, 1.0, -inf)",True
Humanoid,HumanoidLTL_458_Humanoid_fixed_unrealizable,1,1,14,14,0,0,"(0.9999779796676802, 0.9999779796676802, 1.0, -inf)",True
Humanoid,HumanoidLTL_503_Humanoid_fixed_unrealizable,1,1,16,16,0,0,"(0.957454610307454, 0.957454610307454, 1.0, -inf)",True
Humanoid,HumanoidLTL_531_Humanoid_unrealizable,1,1,10,10,0,0,"(1.0, 1.0, 1.0, 0.4296125000554735)",True
Humanoid,HumanoidLTL_713_Humanoid_unrealizable,1,1,4,4,0,0,"(0.9938257970671112, 0.9938257970671112, 1.0, -inf)",True
Humanoid,HumanoidLTL_741_Humanoid_unrealizable,1,1,16,16,0,0,"(0.9764735478593748, 0.9764735478593748, 1.0, -inf)",True
Humanoid,HumanoidLTL_742_Humanoid_unrealizable,1,1,15,15,0,0,"(0.972643817415463, 0.972643817415463, 1.0, -inf)",True
Humanoid,HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,1,1,4,4,0,0,"(0.9938257970671112, 0.9938257970671112, 1.0, -inf)",True
Humanoid,HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,1,1,4,4,0,0,"(0.9940316038315408, 0.9940316038315408, 1.0, -inf)",True
PCar,PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,1,1,13,13,0,0,"(0.9719521652678292, 0.9719521652678292, 1.0, -inf)",True
