System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,Repaired
ColorSort,ColorSortLTL2TAG_789_ColorSort_1,1,1,26,26,1.0,1.0,True
ColorSort,ColorSortLTL2TAG_789_ColorSort_2,1,1,20,20,1.0,1.0,True
ColorSort,ColorSortLTL2TAG_789_ColorSort_3,1,1,27,27,1.0,1.0,True
ColorSort,ColorSortLTL2_621_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL2_794_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_1,1,1,24,24,1.0,1.0,True
ColorSort,ColorSortLTL3TAG_787_ColorSort_2,1,1,18,18,1.0,1.0,True
ColorSort,ColorSortLTL3TAG_787_ColorSort_3,1,1,24,24,1.0,1.0,True
ColorSort,ColorSortLTL3_621_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_646_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_662_ColorSort_fixed_1,1,1,7,7,1.0,1.0,True
ColorSort,ColorSortLTL3_674_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_674_ColorSort_fixed_2,1,1,24,24,1.0,1.0,True
ColorSort,ColorSortLTL3_675_ColorSort_fixed_1,1,1,25,25,1.0,1.0,True
ColorSort,ColorSortLTL3_675_ColorSort_fixed_2,1,1,25,25,1.0,1.0,True
ColorSort,ColorSortLTL3_678_ColorSort_fixed_1,1,1,25,25,1.0,1.0,True
ColorSort,ColorSortLTL3_678_ColorSort_fixed_2,1,1,25,25,1.0,1.0,True
ColorSort,ColorSortLTL3_679_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_2,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_2,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_2,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_3,1,1,27,27,1.0,1.0,True
ColorSort,ColorSortLTL3_687_ColorSort_fixed_1,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_2,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_3,1,1,22,22,1.0,1.0,True
ColorSort,ColorSortLTL3_687_ColorSort_fixed_4,1,1,27,27,1.0,1.0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_1,1,1,27,27,1.0,1.0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_2,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_3,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_4,1,1,27,27,1.0,1.0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_5,0,0,0,0,0.0,0.0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_6,1,1,22,22,1.0,1.0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_7,1,1,27,27,1.0,1.0,True
ColorSort,ColorSortLTLTAG_788_ColorSort_1,1,1,25,25,1.0,1.0,True
ColorSort,ColorSortLTLTAG_788_ColorSort_2,1,1,21,21,1.0,1.0,True
ColorSort,ColorSortLTLTAG_788_ColorSort_3,1,1,26,26,1.0,1.0,True
ColorSort,ColorSortLTLTAG_792_ColorSort_1,1,1,25,25,1.0,1.0,True
ColorSort,ColorSortLTLTAG_792_ColorSort_2,1,1,21,21,1.0,1.0,True
ColorSort,ColorSortLTLTAG_792_ColorSort_3,1,1,26,26,1.0,1.0,True
Gyro,GyroLTLVar2_701_GyroAspect_fixed_1,1,1,16,16,1.0,1.0,True
Gyro,GyroLTLVar2_701_GyroAspect_fixed_2,1,1,17,17,1.0,1.0,True
Gyro,GyroLTLVar2_701_GyroAspect_fixed_3,1,1,17,17,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_1,1,1,3,3,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_2,1,1,4,4,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_3,1,1,6,6,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_4,1,1,6,6,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_5,1,1,6,6,1.0,1.0,True
Gyro,GyroLTL_390_GyroAspect_1,1,1,5,5,1.0,1.0,True
Gyro,GyroLTL_390_GyroAspect_2,1,1,4,4,1.0,1.0,True
Gyro,GyroLTL_390_GyroAspect_3,1,1,5,5,1.0,1.0,True
Gyro,GyroLTL_390_GyroAspect_4,1,1,2,2,1.0,1.0,True
Gyro,GyroLTL_486_GyroAspect_1,1,1,8,8,1.0,1.0,True
Gyro,GyroLTL_486_GyroAspect_2,1,1,7,7,1.0,1.0,True
Gyro,GyroLTL_486_GyroAspect_3,1,1,8,8,1.0,1.0,True
Gyro,GyroLTL_486_GyroAspect_4,1,1,9,9,2.0,2.0,True
Gyro,GyroLTL_588_GyroAspect_1,1,1,10,10,1.0,1.0,True
Gyro,GyroLTL_588_GyroAspect_2,1,1,9,9,1.0,1.0,True
Gyro,GyroLTL_588_GyroAspect_3,1,1,10,10,1.0,1.0,True
Gyro,GyroLTL_588_GyroAspect_4,1,1,11,11,2.0,2.0,True
Gyro,GyroLTL_590_GyroAspect_1,1,1,8,8,1.0,1.0,True
Gyro,GyroLTL_590_GyroAspect_2,1,1,7,7,1.0,1.0,True
Gyro,GyroLTL_590_GyroAspect_3,1,1,8,8,2.0,2.0,True
Gyro,GyroLTL_590_GyroAspect_4,1,1,5,5,1.0,1.0,True
Gyro,GyroLTL_590_GyroAspect_5,1,1,8,8,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_1,1,1,6,6,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_2,1,1,9,9,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_3,1,1,11,11,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_4,1,1,11,11,1.0,1.0,True
Gyro,GyroLTL_637_GyroAspect_fixed_1,1,1,9,9,1.0,1.0,True
Gyro,GyroLTL_637_GyroAspect_fixed_2,1,1,10,10,1.0,1.0,True
Gyro,GyroLTL_637_GyroAspect_fixed_3,1,1,10,10,1.0,1.0,True
Gyro,GyroLTL_700_GyroAspect_fixed_1,1,1,9,9,1.0,1.0,True
Gyro,GyroLTL_700_GyroAspect_fixed_2,1,1,10,10,1.0,1.0,True
Gyro,GyroLTL_700_GyroAspect_fixed_3,1,1,10,10,1.0,1.0,True
Humanoid,HumanoidLTLVar3_872_Humanoid_1,1,1,4,4,1.0,1.0,True
Humanoid,HumanoidLTLVar3_872_Humanoid_2,1,1,18,18,1.0,1.0,True
Humanoid,HumanoidLTL_460_Humanoid_1,1,1,14,14,1.0,1.0,True
Humanoid,HumanoidLTL_462_Humanoid_1,1,1,17,17,1.0,1.0,True
Humanoid,HumanoidLTL_533_Humanoid_1,1,1,12,12,1.0,1.0,True
Humanoid,HumanoidLTL_533_Humanoid_2,1,1,12,12,1.0,1.0,True
