Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,InterpolantComputed,InterpolantIsFalse,NonStateSeparable,NoInterpolant,NumStateComponents,NumNonIoSeparable
92e18a8e-5e42-4974-a605-4c4ca8b79057,[],0.12975706399447517,0,0,0,N/A,2,True,False,N/A,N/A,False,0.056456222002452705,0.33380008400126826,N/A,N/A,0.04191768300370313,2,5.758499901276082e-05,0.04622843800461851,True,N/A,N/A,N/A,1,0
f60afb0a-ad35-4166-bb0f-dae7cc7f4c73,['G(!(heading_0 & button_0))'],0.41586558999551926,0.1271862819994567,0.2661354299998493,1,92e18a8e-5e42-4974-a605-4c4ca8b79057,2,True,False,N/A,N/A,False,0.09619581799779553,0.035071805003099144,N/A,N/A,0.027742509999370668,2,7.261899736477062e-05,0.0916832910006633,True,N/A,N/A,N/A,1,0
a685101f-8e14-47eb-b940-66c100845476,['!(heading_0 & button_0)'],0.5709572109990404,0.12719813999865437,0.4802488849963993,1,92e18a8e-5e42-4974-a605-4c4ca8b79057,2,True,False,N/A,N/A,False,0.03856525499577401,0.020153724995907396,N/A,N/A,0.023881777000497095,2,8.132599759846926e-05,0.04284772199753206,True,N/A,N/A,N/A,1,0
76685c8c-6f9f-4727-a44c-2d95d8ef7900,"['G(!(heading_0 & button_0))', 'G(!(heading_1 & button_0))']",0.8421413139949436,0.40770864399382845,0.7242961019946961,2,f60afb0a-ad35-4166-bb0f-dae7cc7f4c73,2,True,False,N/A,N/A,False,0.1328038319988991,0.015628004999598488,N/A,N/A,0.019278302999737207,2,8.688399975653738e-05,0.07155707100173458,True,N/A,N/A,N/A,1,0
ed341635-5c52-4fa1-9f01-e6d6a5110e4a,"['!(heading_1 & button_0)', 'G(!(heading_0 & button_0))']",1.0642848669958767,0.4077248989997315,0.8971946409947122,2,f60afb0a-ad35-4166-bb0f-dae7cc7f4c73,2,True,False,N/A,N/A,False,0.035028974001761526,0.015506843003095128,N/A,N/A,0.04368015200452646,2,6.80659941281192e-05,0.09822415699454723,True,N/A,N/A,N/A,1,0
cf523fc9-3716-4934-b3df-e69c81541363,"['!(heading_0 & button_0)', 'G(!(heading_1 & button_0))']",1.307353776996024,0.5685315249938867,1.1955061799963005,2,a685101f-8e14-47eb-b940-66c100845476,2,True,False,N/A,N/A,False,0.03779032600141363,0.08864983300009044,N/A,N/A,0.019591064999985974,2,7.062000076984987e-05,0.06682040699524805,True,N/A,N/A,N/A,1,0
47f7643c-c7df-429d-9c86-1dd983358fba,"['!(heading_0 & button_0)', '!(heading_1 & button_0)']",1.4669360059997416,0.5685516269950313,1.3783169239977724,2,a685101f-8e14-47eb-b940-66c100845476,2,True,False,N/A,N/A,False,0.04527199300355278,0.01877754300221568,N/A,N/A,0.02123820999986492,2,0.00010266200115438551,0.04304918100388022,True,N/A,N/A,N/A,1,0
fe5c9688-ecea-4609-b19a-c11f1d6d606a,"['!(button_0 & heading_2)', 'G(!(heading_0 & button_0))', 'G(!(heading_1 & button_0))']",1.6455155439980444,0.8398611800002982,1.6147771519972594,3,76685c8c-6f9f-4727-a44c-2d95d8ef7900,0,True,True,True,False,True,0.073840087003191,0.06823965300281998,0.010053596000943799,0.019267846997536253,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
9e33b084-59b7-4586-a1d9-94b2b4ae25d9,"['G(!(button_0 & heading_2))', 'G(!(heading_0 & button_0))', 'G(!(heading_1 & button_0))']",1.6966671779955504,0.8398819509966415,N/A,3,76685c8c-6f9f-4727-a44c-2d95d8ef7900,0,True,N/A,N/A,N/A,N/A,0.032082499004900455,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
64be0a69-a4b5-47ae-915b-aff1698110b0,"['!(button_0 & heading_2)', '!(heading_1 & button_0)', 'G(!(heading_0 & button_0))']",1.771358292993682,1.0599039549997542,1.7457974889985053,3,ed341635-5c52-4fa1-9f01-e6d6a5110e4a,0,True,True,True,False,True,0.023488075996283442,0.01984600199648412,0.009501774002274033,0.014480053003353532,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
