Specification,NumRepairs
ColorSortLTL2TAG_789_ColorSort_1,1
ColorSortLTL2TAG_789_ColorSort_2,1
ColorSortLTL2TAG_789_ColorSort_3,1
ColorSortLTL2_621_ColorSort_fixed_1,0
ColorSortLTL2_794_ColorSort_fixed_1,0
ColorSortLTL3TAG_787_ColorSort_1,1
ColorSortLTL3TAG_787_ColorSort_2,1
ColorSortLTL3TAG_787_ColorSort_3,1
ColorSortLTL3_621_ColorSort_fixed_1,0
ColorSortLTL3_646_ColorSort_fixed_1,0
ColorSortLTL3_662_ColorSort_fixed_1,1
ColorSortLTL3_674_ColorSort_fixed_1,0
ColorSortLTL3_674_ColorSort_fixed_2,1
ColorSortLTL3_675_ColorSort_fixed_1,0
ColorSortLTL3_675_ColorSort_fixed_2,0
ColorSortLTL3_678_ColorSort_fixed_1,0
ColorSortLTL3_678_ColorSort_fixed_2,0
ColorSortLTL3_679_ColorSort_fixed_1,0
ColorSortLTL3_679_ColorSort_fixed_2,0
ColorSortLTL3_681_ColorSort_fixed_1,0
ColorSortLTL3_681_ColorSort_fixed_2,0
ColorSortLTL3_682_ColorSort_fixed_1,0
ColorSortLTL3_682_ColorSort_fixed_2,0
ColorSortLTL3_682_ColorSort_fixed_3,1
ColorSortLTL3_687_ColorSort_fixed_1,0
ColorSortLTL3_687_ColorSort_fixed_2,0
ColorSortLTL3_687_ColorSort_fixed_3,1
ColorSortLTL3_687_ColorSort_fixed_4,1
ColorSortLTL3_688_ColorSort_fixed_1,1
ColorSortLTL3_688_ColorSort_fixed_2,0
ColorSortLTL3_688_ColorSort_fixed_3,0
ColorSortLTL3_688_ColorSort_fixed_4,1
ColorSortLTL3_688_ColorSort_fixed_5,0
ColorSortLTL3_688_ColorSort_fixed_6,1
ColorSortLTL3_688_ColorSort_fixed_7,1
ColorSortLTLTAG_788_ColorSort_1,1
ColorSortLTLTAG_788_ColorSort_2,1
ColorSortLTLTAG_788_ColorSort_3,1
ColorSortLTLTAG_792_ColorSort_1,1
ColorSortLTLTAG_792_ColorSort_2,1
ColorSortLTLTAG_792_ColorSort_3,1
GyroLTLVar2_701_GyroAspect_fixed_1,1
GyroLTLVar2_701_GyroAspect_fixed_2,1
GyroLTLVar2_701_GyroAspect_fixed_3,1
GyroLTLVar3_702_GyroAspect_1,1
GyroLTLVar3_702_GyroAspect_2,1
GyroLTLVar3_702_GyroAspect_3,1
GyroLTLVar3_702_GyroAspect_4,1
GyroLTLVar3_702_GyroAspect_5,1
GyroLTL_390_GyroAspect_1,1
GyroLTL_390_GyroAspect_2,1
GyroLTL_390_GyroAspect_3,1
GyroLTL_390_GyroAspect_4,1
GyroLTL_486_GyroAspect_1,1
GyroLTL_486_GyroAspect_2,1
GyroLTL_486_GyroAspect_3,1
GyroLTL_486_GyroAspect_4,1
GyroLTL_588_GyroAspect_1,1
GyroLTL_588_GyroAspect_2,1
GyroLTL_588_GyroAspect_3,1
GyroLTL_588_GyroAspect_4,1
GyroLTL_590_GyroAspect_1,1
GyroLTL_590_GyroAspect_2,1
GyroLTL_590_GyroAspect_3,1
GyroLTL_590_GyroAspect_4,1
GyroLTL_590_GyroAspect_5,1
GyroLTL_595_GyroAspect_fixed_1,1
GyroLTL_595_GyroAspect_fixed_2,1
GyroLTL_595_GyroAspect_fixed_3,1
GyroLTL_595_GyroAspect_fixed_4,1
GyroLTL_637_GyroAspect_fixed_1,1
GyroLTL_637_GyroAspect_fixed_2,1
GyroLTL_637_GyroAspect_fixed_3,1
GyroLTL_700_GyroAspect_fixed_1,1
GyroLTL_700_GyroAspect_fixed_2,1
GyroLTL_700_GyroAspect_fixed_3,1
HumanoidLTLVar3_872_Humanoid_1,1
HumanoidLTLVar3_872_Humanoid_2,1
HumanoidLTL_460_Humanoid_1,1
HumanoidLTL_462_Humanoid_1,1
HumanoidLTL_533_Humanoid_1,1
HumanoidLTL_533_Humanoid_2,1
HumanoidLTL_556_Humanoid_1,1
HumanoidLTL_556_Humanoid_2,1
HumanoidLTL_743_Humanoid_1,1
HumanoidLTL_743_Humanoid_2,1
HumanoidLTL_747_Humanoid_1,1
HumanoidLTL_747_Humanoid_2,1
HumanoidLTL_747_Humanoid_3,1
HumanoidLTL_750_Humanoid_1,1
HumanoidLTL_750_Humanoid_2,1
HumanoidLTL_776_Humanoid_1,1
HumanoidLTL_776_Humanoid_2,1
