Filename;ExpandedNodes;TotalInterpolantsComputed;NoInterpolant;NonStateSeparable;TotalStateComponents;NonIOSeparableComponents;CounterstrategyNotComputed;NumSolutions
HumanoidLTL_741_Humanoid_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;0;0;0;0;0;0;0;0
HumanoidLTL_713_Humanoid_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;0;0;0;0;0;0;0;0
HumanoidLTL_458_Humanoid_fixed_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;1;1;0;0;0;0;0;0
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;0;0;0;0;0;0;0;0
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;0;0;0;0;0;0;0;0
ColorSortLTL3_689_ColorSort_fixed_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;0;0;0;0;0;0;0;0
HumanoidLTL_503_Humanoid_fixed_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;1;1;0;0;0;0;0;0
GyroUnrealizable_Var2_710_GyroAspect_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;2;2;0;0;0;0;0;1
HumanoidLTL_531_Humanoid_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;1;1;0;0;0;0;0;0
GyroUnrealizable_Var1_710_GyroAspect_unrealizable_interpolation-bfs_exptacas20_duplicatecheck.csv;2;2;0;0;0;0;0;1
