System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,Repaired
ColorSort,ColorSortLTL2TAG_789_ColorSort_1,2,0,,,,,False
ColorSort,ColorSortLTL2TAG_789_ColorSort_2,2,1,1.0,1.0,1.0,1.0,True
ColorSort,ColorSortLTL2TAG_789_ColorSort_3,2,0,,,,,False
ColorSort,ColorSortLTL2_621_ColorSort_fixed_1,17,0,,,,,False
ColorSort,ColorSortLTL2_794_ColorSort_fixed_1,16,0,,,,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_1,2,0,,,,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_2,2,1,1.0,1.0,1.0,1.0,True
ColorSort,ColorSortLTL3TAG_787_ColorSort_3,2,0,,,,,False
ColorSort,ColorSortLTL3_621_ColorSort_fixed_1,9,0,,,,,False
ColorSort,ColorSortLTL3_646_ColorSort_fixed_1,1,0,,,,,False
ColorSort,ColorSortLTL3_662_ColorSort_fixed_1,12,0,,,,,False
ColorSort,ColorSortLTL3_674_ColorSort_fixed_1,1,0,,,,,False
ColorSort,ColorSortLTL3_674_ColorSort_fixed_2,2,0,,,,,False
ColorSort,ColorSortLTL3_675_ColorSort_fixed_1,2,0,,,,,False
ColorSort,ColorSortLTL3_675_ColorSort_fixed_2,1,0,,,,,False
ColorSort,ColorSortLTL3_678_ColorSort_fixed_1,2,1,2.0,2.0,1.0,1.0,True
ColorSort,ColorSortLTL3_678_ColorSort_fixed_2,1,0,,,,,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_1,1,0,,,,,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_2,2,0,,,,,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_1,1,0,,,,,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_2,1,0,,,,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_1,2,0,,,,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_2,2,0,,,,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_3,2,0,,,,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_1,1,0,,,,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_2,2,0,,,,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_3,2,0,,,,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_4,2,0,,,,,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_1,2,1,1.0,1.0,1.0,1.0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_2,3,0,,,,,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_3,2,0,,,,,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_4,2,1,1.0,1.0,1.0,1.0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_5,2,0,,,,,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_6,2,0,,,,,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_7,2,0,,,,,False
ColorSort,ColorSortLTLTAG_788_ColorSort_1,2,0,,,,,False
ColorSort,ColorSortLTLTAG_788_ColorSort_2,2,1,1.0,1.0,1.0,1.0,True
ColorSort,ColorSortLTLTAG_788_ColorSort_3,2,0,,,,,False
ColorSort,ColorSortLTLTAG_792_ColorSort_1,2,0,,,,,False
ColorSort,ColorSortLTLTAG_792_ColorSort_2,2,0,,,,,False
ColorSort,ColorSortLTLTAG_792_ColorSort_3,2,0,,,,,False
Gyro,GyroLTLVar2_701_GyroAspect_fixed_1,2,1,2.0,2.0,1.0,1.0,True
Gyro,GyroLTLVar2_701_GyroAspect_fixed_2,2,0,,,,,False
Gyro,GyroLTLVar2_701_GyroAspect_fixed_3,2,1,2.0,2.0,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_1,3,1,2.0,2.0,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_2,2,0,,,,,False
Gyro,GyroLTLVar3_702_GyroAspect_3,2,0,,,,,False
Gyro,GyroLTLVar3_702_GyroAspect_4,2,1,1.0,1.0,1.0,1.0,True
Gyro,GyroLTLVar3_702_GyroAspect_5,2,1,2.0,2.0,1.0,1.0,True
Gyro,GyroLTL_390_GyroAspect_1,2,1,1.0,1.0,1.0,1.0,True
Gyro,GyroLTL_390_GyroAspect_2,9,1,3.0,3.0,2.0,2.0,True
Gyro,GyroLTL_390_GyroAspect_3,2,0,,,,,False
Gyro,GyroLTL_390_GyroAspect_4,3,1,2.0,2.0,1.0,1.0,True
Gyro,GyroLTL_486_GyroAspect_1,3,2,4.0,4.0,1.0,1.0,True
Gyro,GyroLTL_486_GyroAspect_2,2,0,,,,,False
Gyro,GyroLTL_486_GyroAspect_3,2,0,,,,,False
Gyro,GyroLTL_486_GyroAspect_4,5,1,5.0,5.0,2.0,2.0,True
Gyro,GyroLTL_588_GyroAspect_1,3,2,4.0,4.0,1.0,1.0,True
Gyro,GyroLTL_588_GyroAspect_2,4,1,4.0,4.0,1.0,1.0,True
Gyro,GyroLTL_588_GyroAspect_3,2,0,,,,,False
Gyro,GyroLTL_588_GyroAspect_4,5,1,5.0,5.0,2.0,2.0,True
Gyro,GyroLTL_590_GyroAspect_1,3,2,4.0,4.0,1.0,1.0,True
Gyro,GyroLTL_590_GyroAspect_2,2,0,,,,,False
Gyro,GyroLTL_590_GyroAspect_3,2,0,,,,,False
Gyro,GyroLTL_590_GyroAspect_4,3,2,5.0,5.0,1.0,1.0,True
Gyro,GyroLTL_590_GyroAspect_5,3,2,5.0,5.0,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_1,3,2,5.0,5.0,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_2,4,1,11.0,11.0,1.0,1.0,True
Gyro,GyroLTL_595_GyroAspect_fixed_3,2,0,,,,,False
Gyro,GyroLTL_595_GyroAspect_fixed_4,3,2,4.0,4.0,1.0,1.0,True
Gyro,GyroLTL_637_GyroAspect_fixed_1,2,0,,,,,False
Gyro,GyroLTL_637_GyroAspect_fixed_2,2,0,,,,,False
Gyro,GyroLTL_637_GyroAspect_fixed_3,3,2,4.0,4.0,1.0,1.0,True
Gyro,GyroLTL_700_GyroAspect_fixed_1,2,0,,,,,False
Gyro,GyroLTL_700_GyroAspect_fixed_2,2,0,,,,,False
Gyro,GyroLTL_700_GyroAspect_fixed_3,3,2,4.0,4.0,1.0,1.0,True
Humanoid,HumanoidLTLVar3_872_Humanoid_1,3,2,1.0,1.0,1.0,1.0,True
Humanoid,HumanoidLTLVar3_872_Humanoid_2,2,1,1.0,1.0,1.0,1.0,True
Humanoid,HumanoidLTL_460_Humanoid_1,9,1,3.0,3.0,2.0,2.0,True
Humanoid,HumanoidLTL_462_Humanoid_1,2,1,4.0,4.0,1.0,1.0,True
