Id;Refinement;UniqueRefinement;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
1886c771-c162-4478-892f-27ddf436b18a;[];[];0.0005778380000265315;0;N/A;1;False;N/A;False;2.7134919379996063;N/A;2.5640115400001378;N/A;0.0001019040000755922;2.3005025470001783;
b853d74d-88de-4dc2-8b6b-c60f17f5e09c;['G(F(!(!balancer_2)))'];['G(F(!(!balancer_2)))'];7.580654106999646;1;1886c771-c162-4478-892f-27ddf436b18a;2;False;N/A;False;2.631933351999578;N/A;2.6915739900005065;N/A;9.345799935545074e-05;2.3553403760006404;
a883da8a-1b6b-4f7a-911b-62128ae1432b;['G(F(!(!balancer_2)))', 'G(!(!distSense_0 & isReady))'];['G(!(!distSense_0 & isReady))', 'G(F(!(!balancer_2)))'];15.26176474299973;2;b853d74d-88de-4dc2-8b6b-c60f17f5e09c;2;False;N/A;False;2.6245057759997508;N/A;2.624926086000414;N/A;0.00014483500035566976;2.287736868000138;
455bb8b0-2b62-4e16-b459-e2c0297f3eaf;['G(F(!(!balancer_2)))', '!(!distSense_0 & isReady)'];['!(!distSense_0 & isReady)', 'G(F(!(!balancer_2)))'];15.261793857999692;2;b853d74d-88de-4dc2-8b6b-c60f17f5e09c;2;False;N/A;False;2.6057227740002418;N/A;2.7351496019991828;N/A;0.00013419500010058982;2.3141835059996083;
c41c5030-b18a-4b59-856f-95b4d4deefcf;['G(F(!(!balancer_2)))', 'G(!(!distSense_0 & isReady))', '!(distSense_0 & isReady)'];['!(distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))', 'G(F(!(!balancer_2)))'];22.80129097200006;3;a883da8a-1b6b-4f7a-911b-62128ae1432b;0;True;False;False;2.6664008939997075;2.6471914920002746;N/A;N/A;N/A;N/A;
758a22eb-ca11-4873-9c8a-695905fba76e;['G(F(!(!balancer_2)))', 'G(!(!distSense_0 & isReady))', 'G(!(distSense_0 & isReady))'];['G(!(!distSense_0 & isReady))', 'G(!(distSense_0 & isReady))', 'G(F(!(!balancer_2)))'];22.801329354999325;3;a883da8a-1b6b-4f7a-911b-62128ae1432b;0;True;False;False;2.781001121999907;2.6186743030002617;N/A;N/A;N/A;N/A;
0fa4f53f-9081-4e71-bffe-3b0242ec7518;['G(F(!(!balancer_2)))', '!(!distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))'];['!(!distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))', 'G(F(!(!balancer_2)))'];30.458189645999482;3;455bb8b0-2b62-4e16-b459-e2c0297f3eaf;2;False;N/A;False;2.6367368159999387;N/A;2.6140124249996006;N/A;0.00015033599993330427;2.3533476369993878;
ce4ffe59-4657-428b-83ad-4edfa600b8ac;['G(F(!(!balancer_2)))', '!(!distSense_0 & isReady)', '!(!distSense_0 & isReady)'];['!(!distSense_0 & isReady)', '!(!distSense_0 & isReady)', 'G(F(!(!balancer_2)))'];30.458221586000036;3;455bb8b0-2b62-4e16-b459-e2c0297f3eaf;2;False;N/A;False;2.7346463799995036;N/A;2.544270196999605;N/A;0.0001391750001857872;2.3731377179992705;
2e6b51a0-5d1e-4a09-ae98-f873aaa619a3;['G(F(!(!balancer_2)))', '!(!distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))', '!(distSense_0 & isReady)'];['!(!distSense_0 & isReady)', '!(distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))', 'G(F(!(!balancer_2)))'];48.780712044999746;4;0fa4f53f-9081-4e71-bffe-3b0242ec7518;0;True;False;False;2.6255108330005896;2.631590445999791;N/A;N/A;N/A;N/A;
f9c80b51-4d8c-4256-912e-a455d2af7fa1;['G(F(!(!balancer_2)))', '!(!distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))', 'G(!(distSense_0 & isReady))'];['!(!distSense_0 & isReady)', 'G(!(!distSense_0 & isReady))', 'G(!(distSense_0 & isReady))', 'G(F(!(!balancer_2)))'];48.780779362999965;4;0fa4f53f-9081-4e71-bffe-3b0242ec7518;0;True;False;False;2.6451522309998836;2.5758557930003008;N/A;N/A;N/A;N/A;
