Id;UniqueRefinement;NumVariables;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
fe7595bf-cf4b-4851-b3b3-58c7a705addc;[];0;0.005742405017372221;0;N/A;2;False;N/A;False;7.310426623036619;N/A;9.194619340007193;1;0.0001852510031312704;7.126596877002157;
c7402add-cefa-4202-ac05-0aa93178105a;['G(!(button_0 & heading_2))'];3;23.701178502989933;1;fe7595bf-cf4b-4851-b3b3-58c7a705addc;2;False;N/A;False;6.017473801039159;N/A;5.7776511430274695;1;0.00010243500582873821;5.198298761970364;
cfd3d2cd-18fe-4a25-876b-3b8aab5c456e;['!(button_0 & heading_2)'];2;23.701205387013033;1;fe7595bf-cf4b-4851-b3b3-58c7a705addc;2;False;N/A;False;3.860206070006825;N/A;3.3568296089651994;1;9.53000271692872e-05;2.461185957014095;
4eee464f-4b36-4323-95b9-d55417d43f59;['G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];6;40.727283729997;2;c7402add-cefa-4202-ac05-0aa93178105a;2;False;N/A;False;3.0960069629945792;N/A;2.595193784974981;1;0.00010857696179300547;2.335372378001921;
0a26513a-3fc0-4a3c-a0d5-72763169457e;['!(button_0 & heading_1)', 'G(!(button_0 & heading_2))'];5;40.72731746803038;2;c7402add-cefa-4202-ac05-0aa93178105a;2;False;N/A;False;2.955159197037574;N/A;2.825866858998779;1;0.00010124995606020093;2.423490874003619;
4350563b-3a58-419c-96f8-0ae915b1d9c2;['!(button_0 & heading_2)', 'G(!(button_0 & heading_1))'];5;50.42146491102176;2;cfd3d2cd-18fe-4a25-876b-3b8aab5c456e;2;False;N/A;False;2.9179920440074056;N/A;2.565858701011166;1;8.303404320031404e-05;2.5244765210081823;
6ca37ab8-2987-4084-9528-b3750c62af1f;['!(button_0 & heading_1)', '!(button_0 & heading_2)'];4;50.42149627499748;2;cfd3d2cd-18fe-4a25-876b-3b8aab5c456e;2;False;N/A;False;2.85689887200715;N/A;2.9520542719983496;1;0.00010799802839756012;2.36686855298467;
a7820d8d-94e9-486c-ad5a-3f2f02c7d1aa;['G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];9;58.457781334000174;3;4eee464f-4b36-4323-95b9-d55417d43f59;0;True;True;True;2.6374326790100895;2.7603867930010892;N/A;N/A;N/A;N/A;
e50f813a-97a9-46da-ac66-d1440a2dd14d;['!(button_0 & heading_0)', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];8;58.4578225450241;3;4eee464f-4b36-4323-95b9-d55417d43f59;0;True;True;True;2.7579413559869863;2.7357718520215712;N/A;N/A;N/A;N/A;
e4d7d871-fc89-4eae-b20a-eb7e028b24f5;['!(button_0 & heading_1)', 'G(!(button_0 & heading_0))', 'G(!(button_0 & heading_2))'];8;66.67049754899926;3;0a26513a-3fc0-4a3c-a0d5-72763169457e;0;True;True;True;2.8726118489867076;2.5425072420039214;N/A;N/A;N/A;N/A;
16b47061-203f-470a-8cc3-0f8684e1262f;['!(button_0 & heading_0)', '!(button_0 & heading_1)', 'G(!(button_0 & heading_2))'];7;66.67053077998571;3;0a26513a-3fc0-4a3c-a0d5-72763169457e;0;True;True;True;2.667558891000226;2.911053391988389;N/A;N/A;N/A;N/A;
4c37ef38-6ce9-4a46-aead-86fa6d325b6f;['!(button_0 & heading_2)', 'G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))'];8;74.68729758099653;3;4350563b-3a58-419c-96f8-0ae915b1d9c2;0;True;True;True;2.7520879770163447;2.719744799018372;N/A;N/A;N/A;N/A;
08469c5c-cf8a-4b15-b545-0944f53fbd06;['!(button_0 & heading_0)', '!(button_0 & heading_2)', 'G(!(button_0 & heading_1))'];7;74.68732962798094;3;4350563b-3a58-419c-96f8-0ae915b1d9c2;0;True;True;True;2.989744612015784;2.613074533001054;N/A;N/A;N/A;N/A;
431ff1ca-cc03-46ed-92be-b31d9833f2e7;['!(button_0 & heading_1)', '!(button_0 & heading_2)', 'G(!(button_0 & heading_0))'];7;82.87137698300648;3;6ca37ab8-2987-4084-9528-b3750c62af1f;0;True;True;True;2.443644380022306;2.49518019403331;N/A;N/A;N/A;N/A;
d2ab4d79-e74c-415d-b15c-e7fed35b2320;['!(button_0 & heading_0)', '!(button_0 & heading_1)', '!(button_0 & heading_2)'];6;82.87141009100014;3;6ca37ab8-2987-4084-9528-b3750c62af1f;0;True;True;True;2.4333399870083667;2.126291153021157;N/A;N/A;N/A;N/A;
