Specification,NumRepairs,Repaired
ColorSortLTL2_794_ColorSort_fixed_1,0,False
ColorSortLTL3TAG_787_ColorSort_1,0,False
ColorSortLTL3TAG_787_ColorSort_2,0,False
ColorSortLTL3_674_ColorSort_fixed_2,0,False
ColorSortLTL3_675_ColorSort_fixed_2,0,False
ColorSortLTL3_681_ColorSort_fixed_2,0,False
ColorSortLTL3_682_ColorSort_fixed_3,0,False
ColorSortLTL3_687_ColorSort_fixed_1,0,False
ColorSortLTL3_687_ColorSort_fixed_2,0,False
ColorSortLTL3_688_ColorSort_fixed_1,0,False
ColorSortLTL3_688_ColorSort_fixed_6,0,False
ColorSortLTLTAG_792_ColorSort_2,0,False
GyroLTLVar2_701_GyroAspect_fixed_3,0,False
GyroLTLVar3_702_GyroAspect_1,1,True
GyroLTLVar3_702_GyroAspect_2,0,False
GyroLTLVar3_702_GyroAspect_5,0,False
GyroLTL_390_GyroAspect_4,1,True
GyroLTL_486_GyroAspect_3,4,True
GyroLTL_588_GyroAspect_1,3,True
GyroLTL_588_GyroAspect_2,2,True
GyroLTL_590_GyroAspect_3,8,True
GyroLTL_590_GyroAspect_5,2,True
GyroLTL_595_GyroAspect_fixed_3,15,True
GyroLTL_637_GyroAspect_fixed_2,7,True
GyroLTL_700_GyroAspect_fixed_1,4,True
GyroLTL_700_GyroAspect_fixed_3,15,True
HumanoidLTL_533_Humanoid_1,1,True
HumanoidLTL_556_Humanoid_1,1,True
HumanoidLTL_743_Humanoid_2,0,False
HumanoidLTL_747_Humanoid_2,1,True
HumanoidLTL_750_Humanoid_2,1,True
HumanoidLTL_776_Humanoid_1,2,True
HumanoidLTL_776_Humanoid_3,0,False
HumanoidLTL_874_Humanoid_1,2,True
HumanoidLTL_874_Humanoid_2,0,False
HumanoidLTL_874_Humanoid_3,0,False
HumanoidLTL_874_Humanoid_5,1,True
PCarLTL_V_10_866_PCar_fixed_1,0,False
PCarLTL_V_10_866_PCar_fixed_2,0,False
PCarLTL_V_10_866_PCar_fixed_3,0,False
PCarLTL_V_20_868_PCar_fixed_1,0,False
PcarLTL_463_PCar_1,0,False
PcarLTL_811_PCar_fixed_1,0,False
PcarLTL_820_PCar_fixed_1,0,False
PcarLTL_856_PCar_fixed_1,0,False
PcarLTL_857_PCar_fixed_1,0,False
PcarLTL_860_PCar_fixed_1,0,False
